Umrli po dnevu smrti, Slovenija, mesečno

"MESEC,""1"",""2"",""3"",""4"",""5"",""6"",""7"",""8"",""9"",""10"",""11"",""12"",""13"",""14"",""15"",""16"",""17"",""18"",""19"",""20"",""21"",""22"",""23"",""24"",""25"",""26"",""27"",""28"",""29"",""30"",""31"""
2010M01,54,39,57,63,48,53,53,49,49,49,51,44,44,47,44,44,47,54,37,50,46,57,53,40,64,47,45,58,49,53,60
2010M02,56,49,62,62,58,47,61,70,49,51,46,41,49,46,45,64,50,64,56,51,44,74,70,55,52,67,64,62,-,-,-
2010M03,50,53,45,49,64,56,53,44,54,62,46,47,61,59,56,62,45,50,54,45,45,50,65,52,43,43,50,55,46,52,48
2010M04,59,60,39,45,46,54,48,59,48,48,51,54,55,72,58,51,48,47,66,41,53,53,49,51,46,67,46,70,46,57,-
2010M05,72,50,34,52,49,52,61,43,57,56,54,49,47,49,37,56,54,48,48,46,44,55,51,57,45,41,45,45,50,46,45
2010M06,53,44,41,57,58,64,59,53,53,45,60,60,55,56,65,53,43,43,33,38,43,41,42,62,43,44,40,54,52,49,-
2010M07,48,60,52,56,54,47,53,41,47,58,51,49,49,57,53,51,66,54,58,54,46,32,51,54,45,47,42,43,46,43,38
2010M08,55,50,50,39,46,39,38,61,54,46,43,38,46,59,49,40,49,46,40,37,45,37,59,42,42,40,53,43,33,42,47
2010M09,46,54,43,53,43,48,49,51,43,50,56,47,52,43,49,51,47,45,62,42,48,63,47,71,61,54,58,58,41,63,-
2010M10,40,51,40,50,31,43,43,50,54,57,62,49,50,53,49,48,51,60,50,56,56,54,53,60,63,49,58,43,53,58,60
2010M11,57,56,46,36,57,50,53,57,49,36,47,48,47,49,63,48,38,64,51,41,36,54,53,50,52,46,55,51,59,58,-
2010M12,49,46,49,58,50,49,41,45,47,51,59,43,53,60,48,56,60,65,64,56,58,65,67,73,51,51,45,57,41,57,58
2011M01,39,57,58,67,66,45,39,54,55,64,74,68,52,66,60,49,49,55,57,54,55,80,59,54,58,51,63,54,62,67,53
2011M02,62,61,53,65,47,54,61,51,54,45,62,52,49,65,65,50,57,59,64,51,56,56,44,56,64,61,51,59,-,-,-
2011M03,47,61,50,53,60,42,63,72,56,49,58,48,59,55,64,46,55,45,57,56,52,45,58,50,57,60,55,44,45,68,52
2011M04,52,45,54,44,58,40,45,61,50,50,51,51,46,46,51,55,43,53,51,63,50,58,31,67,57,50,56,48,52,51,-
2011M05,48,54,57,59,54,44,45,57,46,52,48,59,44,48,56,39,40,54,49,46,45,44,41,46,52,60,45,39,45,38,52
2011M06,58,49,50,47,59,41,44,34,45,45,56,43,44,47,52,49,45,38,59,41,54,45,45,53,41,41,40,50,47,51,-
2011M07,41,45,64,57,39,46,49,41,43,43,58,51,45,47,55,45,50,51,44,54,47,55,46,41,48,42,41,49,47,33,41
2011M08,48,46,43,48,61,44,45,45,54,46,35,46,44,49,53,57,47,57,53,56,50,56,45,57,62,45,45,52,49,47,50
2011M09,57,52,38,50,52,38,45,47,43,52,55,40,55,52,48,55,50,52,43,44,49,53,48,52,41,44,46,50,44,43,-
2011M10,45,43,52,49,42,52,63,48,47,50,51,58,45,61,37,46,58,42,53,61,60,48,53,45,51,46,57,49,51,49,67
2011M11,44,54,51,48,53,64,55,62,44,47,39,58,56,54,65,40,40,53,50,54,52,53,60,48,48,47,59,55,41,43,-
2011M12,61,50,49,55,59,54,63,53,48,60,43,53,55,52,58,53,45,42,53,42,50,66,58,48,51,42,49,58,62,68,64
2012M01,65,57,60,49,53,49,46,43,64,46,52,65,58,61,55,53,50,68,58,51,40,38,70,64,61,53,63,50,46,59,69
2012M02,51,63,49,52,48,66,57,64,44,67,73,68,62,72,73,77,57,55,63,67,66,62,59,65,68,67,73,45,69,-,-
2012M03,58,71,76,51,55,65,63,80,54,68,58,60,65,61,67,63,77,66,73,53,60,77,61,62,74,48,73,65,46,65,69
2012M04,58,67,56,59,51,44,55,59,57,57,57,52,52,47,47,49,48,46,61,54,47,60,40,45,55,49,53,54,50,60,-
2012M05,56,53,49,52,52,57,54,37,53,53,67,56,49,50,40,51,43,48,29,48,42,47,53,49,44,46,53,51,41,41,47
2012M06,40,50,37,61,45,41,40,36,41,43,52,45,50,46,56,38,46,47,53,59,51,60,47,56,49,50,47,45,52,44,-
2012M07,50,55,57,75,54,58,54,54,41,53,47,53,41,56,44,45,42,50,40,56,52,39,46,46,32,36,52,49,53,49,50
2012M08,44,30,55,50,37,33,53,54,58,61,43,48,47,39,52,40,44,43,51,39,43,44,44,45,56,47,55,49,57,56,50
2012M09,33,34,40,46,58,49,43,41,40,37,47,59,43,46,52,43,40,45,45,47,57,57,51,49,48,56,52,49,49,54,-
2012M10,53,46,47,60,57,45,54,55,48,53,54,59,58,55,58,40,51,48,48,50,60,55,54,61,45,49,52,60,44,48,35
2012M11,66,61,59,60,50,52,59,51,41,67,55,42,48,37,53,68,53,61,46,42,48,48,60,49,48,42,54,59,42,46,-
2012M12,62,46,61,44,64,57,52,47,39,37,63,41,59,55,49,60,56,58,58,55,47,46,65,46,66,48,59,55,59,46,53
2013M01,58,60,51,57,56,67,57,55,57,56,67,66,52,55,65,67,52,62,63,62,64,65,64,55,51,71,68,56,58,64,71
2013M02,60,66,71,56,61,62,71,52,55,49,69,60,58,57,61,55,68,55,73,73,59,60,71,59,61,66,69,73,-,-,-
2013M03,69,67,57,65,76,73,41,58,52,65,70,54,55,47,64,68,66,64,66,62,52,64,51,46,53,49,55,54,64,49,56
2013M04,50,49,69,63,65,55,56,46,58,59,57,54,72,55,49,59,49,58,62,50,77,46,51,58,43,57,63,51,45,52,-
2013M05,39,50,42,47,53,43,58,50,55,46,60,42,49,57,40,40,48,45,45,34,50,39,52,49,57,57,43,44,42,51,37
2013M06,53,40,52,42,48,47,49,46,60,38,47,43,52,56,51,64,64,65,55,58,63,66,57,62,52,49,52,55,42,40,-
2013M07,43,50,38,50,45,46,53,66,46,55,55,51,43,48,51,39,56,37,49,46,55,52,57,34,50,45,56,52,67,34,51
2013M08,50,52,51,40,47,61,56,56,39,53,46,45,53,59,46,36,44,32,55,57,46,41,46,47,44,52,48,41,36,54,40
2013M09,40,45,47,41,52,46,39,49,42,59,44,53,41,56,51,59,47,48,53,55,46,43,54,41,45,56,66,60,49,46,-
2013M10,45,66,39,55,46,35,65,41,45,47,58,62,51,54,53,52,53,52,49,53,54,44,51,57,43,51,41,58,48,46,44
2013M11,41,47,61,46,57,43,46,52,45,37,51,49,49,54,48,48,41,48,43,36,52,51,53,55,51,56,58,52,51,46,-
2013M12,52,51,57,45,46,56,54,48,54,48,60,50,52,51,58,59,55,43,35,57,40,68,62,78,53,53,60,65,52,58,59
2014M01,57,57,67,55,49,53,65,47,50,53,67,63,50,54,43,55,50,38,70,54,38,50,54,49,48,56,60,52,59,54,56
2014M02,64,58,69,56,56,41,51,50,67,60,71,42,52,50,52,61,61,69,66,57,47,59,60,68,64,65,54,73,-,-,-
2014M03,69,58,61,55,44,61,70,59,47,56,48,78,47,64,53,57,59,66,59,64,65,50,61,48,55,55,63,47,51,50,53
2014M04,64,63,65,57,52,54,69,56,49,41,49,67,43,52,55,44,50,54,55,54,48,43,47,50,46,56,37,49,31,40,-
2014M05,48,62,44,56,45,38,55,42,45,46,31,58,47,34,50,48,45,39,60,53,47,40,60,45,53,53,46,36,48,42,59
2014M06,56,49,50,39,59,54,48,47,52,58,50,53,59,53,51,45,40,55,37,37,56,45,44,56,46,43,41,46,37,52,-
2014M07,48,41,59,45,49,52,51,50,57,33,69,54,52,49,44,48,59,42,55,60,53,54,46,41,47,48,49,48,41,57,45
2014M08,41,45,46,47,44,55,44,43,46,56,47,46,51,50,48,43,46,42,37,46,48,58,34,45,43,53,46,52,47,52,45
2014M09,48,49,35,49,45,35,43,39,41,59,55,52,53,60,49,52,41,45,45,62,41,52,55,49,53,44,59,51,57,49,-
2014M10,55,52,53,57,60,55,52,42,49,61,66,38,59,44,58,43,59,59,46,57,54,49,51,54,55,54,50,49,60,56,57
2014M11,53,49,45,59,49,55,56,45,53,65,42,45,55,59,48,53,50,48,55,46,52,50,37,49,50,52,39,68,47,51,-
2014M12,50,55,59,60,57,58,48,52,46,48,38,53,62,45,44,60,66,52,55,56,50,59,56,54,49,62,60,67,50,49,66
2015M01,61,59,59,64,56,57,63,58,55,55,63,61,63,65,53,81,58,72,63,68,74,68,52,60,64,56,60,71,53,69,61
2015M02,62,65,52,52,62,63,63,63,70,77,57,75,67,55,58,70,63,61,62,60,65,65,71,62,62,60,67,58,-,-,-
2015M03,69,64,59,60,52,51,53,45,65,67,72,63,55,70,61,49,62,53,58,71,58,66,67,67,70,70,65,53,68,70,58
2015M04,63,71,71,52,59,64,76,52,57,56,57,61,74,74,50,55,53,67,47,63,73,50,54,44,44,60,55,50,63,55,-
2015M05,56,60,48,47,60,42,45,61,41,66,51,41,48,42,45,58,42,63,44,44,35,49,49,34,37,45,45,46,50,57,53
2015M06,68,47,49,50,48,49,53,56,40,43,44,56,39,47,46,58,47,39,47,40,46,50,45,31,56,46,39,43,59,59,-
2015M07,58,54,46,51,57,48,54,71,41,53,47,63,48,53,56,52,62,50,60,62,47,53,51,59,65,56,50,50,48,53,44
2015M08,42,45,59,43,50,46,42,48,45,54,59,48,52,54,54,52,41,54,45,47,46,47,57,38,52,60,46,52,46,43,56
2015M09,51,44,44,38,41,41,32,45,37,47,54,55,39,47,51,43,48,49,57,65,57,35,48,49,38,47,41,46,44,51,-
2015M10,55,49,41,55,56,64,55,51,43,61,61,47,50,45,63,57,38,54,65,56,53,47,59,41,61,53,69,57,69,54,54
2015M11,52,57,52,61,48,54,54,53,62,59,53,55,51,53,43,39,58,49,47,48,66,51,49,53,56,63,51,60,46,65,-
2015M12,43,43,51,55,62,51,75,59,60,63,55,55,66,41,56,46,58,57,52,49,50,43,53,55,52,40,54,55,53,51,57
2016M01,50,60,75,53,57,55,73,70,71,72,77,61,60,65,61,57,58,63,73,53,45,57,52,68,56,76,63,61,66,70,65
2016M02,86,63,57,54,51,58,65,57,69,55,61,56,59,69,70,49,50,58,56,73,65,54,60,67,50,59,54,62,63,-,-
2016M03,70,52,64,65,58,55,56,62,55,46,55,72,70,70,42,52,66,72,55,54,61,53,53,45,57,62,57,68,65,49,64
2016M04,78,59,58,62,55,59,49,50,52,46,46,52,43,52,47,58,41,56,67,53,71,50,57,45,45,44,45,53,51,52,-
2016M05,61,54,42,55,60,58,53,45,61,64,49,47,56,40,41,52,29,57,53,53,58,44,46,39,43,53,61,64,49,50,43
2016M06,46,52,52,43,48,53,55,48,44,49,44,54,45,53,55,51,57,50,37,47,38,49,52,39,54,56,46,37,51,54,-
2016M07,50,42,54,39,48,57,59,38,50,56,54,70,45,55,58,48,40,47,41,44,47,45,35,53,56,47,47,47,52,50,43
2016M08,41,45,39,45,46,50,53,49,47,44,47,54,44,41,52,60,53,36,53,53,48,52,44,48,41,54,57,47,51,63,48
2016M09,46,57,61,47,55,52,50,55,43,43,34,48,54,49,48,45,58,61,41,42,57,49,45,55,69,44,57,36,43,57,-
2016M10,57,61,48,46,58,42,71,48,56,50,51,48,44,54,75,68,59,43,53,46,49,64,61,44,56,70,49,54,64,58,43
2016M11,48,58,38,43,44,67,49,42,53,57,58,62,53,57,59,51,47,72,46,49,55,46,63,53,52,52,45,43,62,49,-
2016M12,33,52,57,61,56,56,64,64,57,50,47,42,56,57,50,48,46,48,61,73,55,61,53,53,57,67,82,61,62,60,61
2017M01,73,70,68,68,62,63,69,79,77,71,71,88,72,64,93,94,98,84,70,75,84,81,72,71,76,81,81,87,101,84,98
2017M02,74,96,95,69,83,78,77,77,68,78,81,64,69,76,74,67,57,63,60,69,57,71,62,68,63,69,64,60,-,-,-
2017M03,75,62,65,52,61,54,51,61,53,52,52,46,49,67,58,48,54,64,57,58,74,53,58,52,67,56,50,66,56,64,55
2017M04,55,67,53,53,55,43,53,50,50,61,46,47,45,58,41,50,60,46,47,57,55,58,62,46,43,64,50,52,56,60,-
2017M05,48,51,43,49,55,58,51,57,48,49,45,54,53,52,45,49,51,62,51,49,53,52,51,55,42,64,47,36,59,65,52
2017M06,52,49,54,40,53,56,38,36,46,64,55,53,54,56,49,53,33,44,51,56,52,42,48,61,38,37,48,55,50,41,-
2017M07,48,55,47,50,44,53,54,60,61,49,51,41,54,39,50,44,38,61,51,45,53,64,42,47,57,42,45,46,47,44,44
2017M08,49,46,51,55,56,46,51,47,57,40,36,41,47,53,45,46,50,57,40,63,43,37,47,61,54,51,57,65,49,56,60
2017M09,54,44,52,53,46,41,44,45,54,56,65,42,51,57,42,35,48,48,41,57,46,56,59,57,51,56,58,55,34,56,-
2017M10,64,61,53,47,68,69,39,61,50,63,47,57,54,42,57,55,59,62,61,37,44,58,49,52,56,41,50,48,54,52,47
2017M11,64,47,60,65,50,50,50,64,53,52,56,55,47,53,59,61,52,57,64,55,61,51,58,52,60,54,47,52,56,52,-
2017M12,55,48,52,54,42,45,66,69,65,58,62,55,51,60,64,55,43,71,49,54,52,58,49,64,53,62,67,66,65,56,53
2018M01,58,53,52,59,56,65,58,63,58,58,58,59,60,55,71,52,59,62,58,44,52,62,62,57,58,59,64,63,70,73,58
2018M02,64,63,65,64,56,52,59,72,63,71,46,77,64,51,74,74,78,72,64,75,57,63,67,78,72,73,82,69,-,-,-
2018M03,69,61,78,80,74,63,68,67,72,61,60,66,66,60,69,72,68,78,64,77,63,50,75,59,55,56,65,62,63,65,61
2018M04,59,47,68,58,61,66,70,51,54,51,55,65,59,49,57,53,44,58,64,60,55,56,59,60,58,54,47,55,67,50,-
2018M05,49,39,61,58,45,43,50,50,54,57,51,53,52,43,56,46,50,58,56,39,63,51,43,47,56,50,43,60,47,55,51
2018M06,51,52,50,57,48,53,48,49,50,55,45,58,46,47,49,41,52,57,50,58,52,47,43,47,45,51,39,38,46,56,-
2018M07,42,50,45,46,47,47,44,43,56,51,38,47,46,38,42,60,52,48,60,59,49,46,60,65,40,42,54,56,47,61,61
2018M08,53,59,54,57,54,46,61,60,49,62,54,58,46,43,56,50,47,44,51,50,54,59,49,67,56,46,56,55,48,46,49
2018M09,53,58,61,43,38,50,51,61,54,60,50,52,56,61,54,58,51,65,61,65,45,55,40,37,51,36,55,56,55,52,-
2018M10,52,62,46,58,57,52,63,52,56,44,58,49,64,48,47,63,53,48,61,52,47,64,60,61,66,51,52,63,51,56,56
2018M11,53,66,67,44,47,61,48,52,45,48,47,64,67,46,61,52,46,56,49,56,58,52,58,40,71,47,59,51,53,68,-
2018M12,57,71,52,64,71,61,53,55,51,59,56,63,78,41,62,63,69,51,46,67,65,67,62,50,52,71,71,62,65,50,57
2019M01,78,68,59,66,70,71,85,58,63,76,73,74,59,62,69,69,77,82,58,64,72,65,86,71,66,61,56,73,66,72,71
2019M02,76,73,84,70,72,71,71,82,62,79,78,55,64,70,66,62,79,61,73,72,66,67,66,75,54,61,67,77,-,-,-
2019M03,61,77,74,59,68,60,58,59,59,48,67,59,65,73,61,76,56,59,56,58,55,80,52,66,54,52,54,72,46,51,52
2019M04,67,57,54,58,69,52,55,52,49,60,48,54,46,35,52,60,64,59,58,56,53,60,50,50,58,54,48,68,55,51,-
2019M05,50,44,49,57,61,51,55,48,48,46,50,60,51,64,46,54,58,63,57,48,63,49,54,55,63,63,60,53,39,46,36
2019M06,62,48,44,49,39,40,57,47,37,55,48,52,43,42,48,57,52,64,51,50,45,57,48,45,39,52,61,44,39,51,-
2019M07,49,47,42,59,42,45,65,41,49,56,37,53,47,44,54,39,47,51,57,54,49,42,56,74,62,68,58,47,61,48,44
2019M08,62,52,49,48,60,60,51,43,53,60,53,57,55,51,46,52,47,37,68,47,57,44,52,69,48,51,47,48,62,34,51
2019M09,47,50,45,41,63,49,44,41,56,64,50,54,61,54,49,56,29,52,45,51,52,57,56,52,66,37,53,44,58,55,-
2019M10,44,54,49,58,60,59,60,58,53,57,55,49,55,61,52,61,56,53,48,52,53,48,61,58,54,47,48,40,46,52,34
2019M11,48,53,60,59,64,53,54,59,46,50,69,58,59,45,61,56,56,41,51,56,52,61,46,55,58,50,56,43,49,46,-
2019M12,57,72,57,57,63,67,62,58,55,62,57,59,68,71,72,68,71,53,57,57,63,68,55,57,44,72,64,45,59,53,45
2020M01,65,74,66,55,62,76,55,69,57,60,53,56,54,64,50,79,76,48,59,65,59,69,72,68,64,58,67,72,68,73,62
2020M02,59,75,67,61,63,74,56,70,58,72,88,75,60,64,77,66,79,68,64,53,56,65,56,62,72,70,52,62,54,-,-
2020M03,59,70,54,59,67,53,57,65,51,56,66,66,72,62,64,51,74,62,59,72,59,66,35,65,53,54,68,65,50,57,50
2020M04,54,64,50,53,55,67,47,51,64,76,65,54,65,63,54,62,54,71,64,72,60,53,50,50,53,54,57,68,51,52,-
2020M05,41,46,41,53,54,48,50,67,58,51,58,62,47,53,36,49,49,57,55,50,67,52,52,72,56,43,44,42,52,48,45
2020M06,50,43,57,52,50,49,44,61,62,53,41,52,46,62,51,49,58,53,52,49,62,52,81,57,56,57,45,60,66,48,-
2020M07,44,60,59,45,49,54,39,44,44,54,54,39,53,50,49,55,48,42,55,53,63,50,57,50,47,49,60,67,48,43,60
2020M08,64,51,61,40,52,41,65,51,60,45,60,60,60,52,64,51,49,53,44,54,54,49,50,39,42,67,55,42,49,47,53
2020M09,48,42,51,46,69,61,61,52,46,48,52,74,60,66,59,62,59,63,58,54,45,53,61,46,57,59,33,63,57,64,-
2020M10,65,50,52,61,66,56,54,60,71,46,62,62,50,73,62,69,66,59,72,72,59,70,91,66,84,69,71,85,85,95,97
2020M11,93,99,87,86,77,102,82,91,95,109,101,118,112,95,109,104,113,94,108,107,91,114,124,110,111,123,99,108,117,119,-
2020M12,119,96,127,107,103,130,121,103,113,116,107,104,120,101,113,109,104,92,112,86,104,97,85,98,95,91,116,99,80,82,108
